OrderID,Delivery_Time_Days,Customer_Rating,Region,Product_Category,Status
282,4,1,East,Home,On-Time
283,1,4,South,Electronics,On-Time
284,6,5,West,Electronics,Late
285,6,4,West,Electronics,Late
286,2,5,West,Electronics,On-Time
287,8,5,North,Electronics,Late
288,2,3,South,Electronics,On-Time
289,9,3,North,Home,Late
290,8,4,North,Electronics,Late
291,7,1,East,Home,Late
292,9,4,North,Home,Late
293,4,5,East,Home,On-Time
294,9,1,South,Fashion,Late
295,5,5,South,Fashion,On-Time
296,3,5,East,Home,On-Time
297,7,1,West,Home,Late
298,3,5,East,Fashion,On-Time
299,7,3,West,Home,Late
300,2,4,North,Home,On-Time
301,7,5,North,Fashion,Late
302,2,3,North,Fashion,On-Time
303,4,1,West,Fashion,On-Time
304,8,3,South,Home,Late
305,3,3,South,Home,On-Time
306,8,5,West,Home,Late
307,1,3,South,Electronics,On-Time
308,7,4,West,Electronics,Late
309,5,3,West,Electronics,On-Time
310,2,2,East,Fashion,On-Time
311,1,5,West,Fashion,On-Time
312,6,1,North,Home,Late
313,3,3,East,Home,On-Time
314,5,5,South,Fashion,On-Time
315,3,5,North,Electronics,On-Time
316,7,5,South,Fashion,Late
317,7,5,South,Electronics,Late
318,9,4,East,Home,Late
319,8,4,North,Home,Late
320,9,3,East,Home,Late
321,6,4,North,Electronics,Late
322,5,2,North,Home,On-Time
323,1,5,North,Electronics,On-Time
324,1,5,North,Electronics,On-Time
325,9,1,South,Fashion,Late
326,3,4,North,Electronics,On-Time
327,2,4,East,Home,On-Time
328,1,1,North,Electronics,On-Time
329,4,5,West,Electronics,On-Time
330,3,5,East,Fashion,On-Time
331,6,5,West,Fashion,Late
332,8,5,South,Electronics,Late
333,6,2,North,Electronics,Late
334,1,3,West,Electronics,On-Time
335,3,4,North,Home,On-Time
336,2,2,North,Electronics,On-Time
337,7,5,North,Home,Late
338,4,4,West,Electronics,On-Time
339,2,3,South,Fashion,On-Time
340,1,5,East,Home,On-Time
341,5,5,South,Electronics,On-Time
342,4,4,South,Electronics,On-Time
343,5,5,North,Electronics,On-Time
344,1,3,East,Fashion,On-Time
345,8,4,South,Fashion,Late
346,4,5,East,Fashion,On-Time
347,6,4,East,Fashion,Late
348,8,4,South,Home,Late
349,4,4,South,Electronics,On-Time
350,7,4,South,Electronics,Late
351,4,3,West,Electronics,On-Time
352,9,4,North,Fashion,Late
353,1,3,North,Fashion,On-Time
354,8,5,North,Fashion,Late
355,4,2,South,Home,On-Time
356,3,4,North,Electronics,On-Time
357,4,2,North,Electronics,On-Time
358,7,5,South,Fashion,Late
359,3,2,East,Electronics,On-Time
360,1,2,North,Electronics,On-Time
361,1,5,North,Electronics,On-Time
362,3,5,East,Fashion,On-Time
363,3,2,North,Electronics,On-Time
364,1,5,East,Electronics,On-Time
365,1,4,East,Fashion,On-Time
366,8,4,West,Fashion,Late
367,2,5,East,Fashion,On-Time
368,1,2,West,Electronics,On-Time
369,8,5,East,Home,Late
370,5,5,South,Electronics,On-Time
371,3,1,East,Home,On-Time
372,2,5,West,Electronics,On-Time
373,7,5,South,Home,Late
374,8,3,South,Home,Late
375,8,3,North,Electronics,Late
376,9,1,South,Electronics,Late
377,3,5,South,Home,On-Time
378,4,5,North,Electronics,On-Time
379,4,4,North,Home,On-Time
380,3,3,West,Electronics,On-Time
381,8,5,South,Fashion,Late
382,3,3,West,Electronics,On-Time
383,6,5,South,Electronics,Late
384,7,5,South,Electronics,Late
385,4,4,North,Home,On-Time
386,2,5,South,Home,On-Time
387,4,3,North,Home,On-Time
388,4,1,South,Home,On-Time
389,8,3,West,Electronics,Late
390,1,4,East,Fashion,On-Time
391,3,4,West,Home,On-Time
392,5,4,East,Home,On-Time
393,7,4,West,Electronics,Late
394,3,2,West,Fashion,On-Time
395,3,5,North,Electronics,On-Time
396,2,4,North,Electronics,On-Time
397,6,4,East,Electronics,Late
398,6,3,East,Electronics,Late
399,9,5,South,Fashion,Late
400,3,4,North,Home,On-Time
401,5,2,East,Fashion,On-Time
402,9,5,North,Fashion,Late
403,3,5,East,Electronics,On-Time
404,8,5,East,Fashion,Late
405,5,5,East,Electronics,On-Time
406,8,1,East,Home,Late
407,3,3,North,Electronics,On-Time
408,7,5,East,Electronics,Late
409,6,4,East,Home,Late
410,7,1,North,Fashion,Late
411,4,2,South,Electronics,On-Time
412,4,4,South,Fashion,On-Time
413,5,5,West,Electronics,On-Time
414,9,4,West,Fashion,Late
415,9,5,West,Electronics,Late
416,7,4,North,Electronics,Late
417,2,3,West,Fashion,On-Time
418,7,4,West,Electronics,Late
419,2,3,North,Electronics,On-Time
420,3,5,West,Home,On-Time
421,5,5,North,Electronics,On-Time
422,6,3,East,Home,Late
423,6,3,East,Fashion,Late
424,1,4,North,Electronics,On-Time
425,4,4,East,Electronics,On-Time
426,8,4,West,Home,Late
427,2,4,West,Fashion,On-Time
428,3,3,East,Electronics,On-Time
429,5,3,West,Home,On-Time
430,2,2,East,Home,On-Time
431,3,5,West,Home,On-Time
432,8,1,North,Home,Late
433,3,2,West,Home,On-Time
434,1,4,North,Fashion,On-Time
435,7,4,South,Fashion,Late
436,9,5,West,Home,Late
437,4,4,North,Home,On-Time
438,7,1,East,Home,Late
439,4,3,North,Electronics,On-Time
440,6,4,East,Electronics,Late
441,1,5,South,Electronics,On-Time
442,3,1,West,Home,On-Time
443,9,3,West,Home,Late
444,2,4,South,Fashion,On-Time
445,1,3,North,Home,On-Time
446,5,5,West,Fashion,On-Time
447,5,4,South,Electronics,On-Time
448,5,4,East,Fashion,On-Time
449,1,5,West,Electronics,On-Time
450,9,5,North,Home,Late
451,1,1,South,Electronics,On-Time
452,9,3,East,Fashion,Late
453,4,5,West,Fashion,On-Time
454,7,4,South,Fashion,Late
455,4,1,South,Fashion,On-Time
456,9,5,West,Electronics,Late
457,4,5,North,Electronics,On-Time
458,6,4,North,Electronics,Late
459,3,4,North,Home,On-Time
460,4,5,South,Fashion,On-Time
461,1,3,North,Fashion,On-Time
462,6,3,West,Electronics,Late
463,2,4,North,Home,On-Time
464,6,3,West,Home,Late
465,4,4,East,Electronics,On-Time
466,1,2,East,Home,On-Time
467,8,4,South,Fashion,Late
468,6,2,South,Home,Late
469,1,4,South,Fashion,On-Time
470,2,4,North,Electronics,On-Time
471,6,4,South,Fashion,Late
472,2,4,East,Electronics,On-Time
473,5,5,South,Home,On-Time
474,3,3,East,Home,On-Time
475,8,5,West,Home,Late
476,5,4,West,Electronics,On-Time
477,3,1,East,Home,On-Time
478,5,4,North,Home,On-Time
479,6,4,South,Fashion,Late
480,4,5,East,Home,On-Time
481,8,4,West,Electronics,Late
482,4,5,North,Electronics,On-Time
483,2,4,South,Home,On-Time
484,7,5,North,Fashion,Late
485,5,5,South,Fashion,On-Time
486,8,3,North,Electronics,Late
487,2,3,South,Electronics,On-Time
488,2,3,North,Home,On-Time
489,3,5,West,Electronics,On-Time
490,7,5,South,Home,Late
491,4,3,North,Fashion,On-Time
492,4,4,West,Home,On-Time
493,3,4,North,Home,On-Time
494,9,5,South,Electronics,Late
495,3,5,South,Home,On-Time
496,9,2,North,Electronics,Late
497,1,5,South,Home,On-Time
498,1,5,South,Home,On-Time
499,4,5,South,Electronics,On-Time
500,2,4,North,Fashion,On-Time
501,6,5,West,Electronics,Late
502,1,4,East,Electronics,On-Time
503,9,4,West,Electronics,Late
504,5,3,East,Fashion,On-Time
505,5,4,South,Fashion,On-Time
506,9,4,South,Fashion,Late
507,6,4,East,Home,Late
508,5,5,West,Home,On-Time
509,9,2,North,Home,Late
510,7,5,North,Fashion,Late
511,9,3,East,Electronics,Late
512,5,1,West,Electronics,On-Time
513,7,3,South,Home,Late
514,4,3,East,Fashion,On-Time
515,7,5,West,Fashion,Late
516,6,1,West,Electronics,Late
517,4,4,West,Home,On-Time
518,5,3,East,Fashion,On-Time
519,9,2,East,Fashion,Late
520,4,4,West,Fashion,On-Time
521,7,4,South,Electronics,Late
522,6,4,North,Home,Late
523,2,5,West,Fashion,On-Time
524,8,5,East,Fashion,Late
525,8,4,East,Fashion,Late
526,7,5,East,Fashion,Late
527,4,4,West,Fashion,On-Time
528,3,3,East,Fashion,On-Time
529,6,4,East,Electronics,Late
530,6,5,West,Electronics,Late
531,9,5,East,Home,Late
532,9,3,South,Electronics,Late
533,5,4,South,Fashion,On-Time
534,3,5,West,Fashion,On-Time
535,6,5,West,Electronics,Late
536,3,1,North,Fashion,On-Time
537,5,4,West,Home,On-Time
538,8,4,West,Electronics,Late
539,7,3,South,Home,Late
540,3,4,West,Fashion,On-Time
541,5,5,North,Electronics,On-Time
542,2,5,West,Home,On-Time
543,2,4,West,Fashion,On-Time
544,9,2,South,Home,Late
545,9,5,North,Electronics,Late
546,5,4,North,Home,On-Time
547,1,5,East,Fashion,On-Time
548,5,4,South,Home,On-Time
549,5,2,North,Home,On-Time
550,8,5,West,Fashion,Late
551,3,2,North,Electronics,On-Time
552,2,2,West,Fashion,On-Time
553,8,4,North,Fashion,Late
554,7,4,North,Fashion,Late
555,2,4,North,Home,On-Time
556,8,4,West,Electronics,Late
557,8,4,East,Home,Late
558,9,2,North,Fashion,Late
559,5,3,South,Electronics,On-Time
560,5,1,South,Electronics,On-Time
561,5,4,North,Home,On-Time
562,2,1,South,Electronics,On-Time
563,1,3,West,Fashion,On-Time
564,2,2,West,Fashion,On-Time
565,8,5,East,Home,Late
566,6,5,South,Fashion,Late
567,4,4,North,Fashion,On-Time
568,1,3,East,Electronics,On-Time
569,7,4,East,Fashion,Late
570,4,1,West,Home,On-Time
571,9,3,East,Fashion,Late
572,2,3,East,Fashion,On-Time
573,9,5,West,Home,Late
574,8,4,South,Home,Late
575,3,3,South,Fashion,On-Time
576,3,2,South,Fashion,On-Time
577,7,5,East,Electronics,Late
578,9,3,South,Fashion,Late
579,9,4,East,Fashion,Late
580,2,5,West,Home,On-Time
581,1,4,South,Electronics,On-Time
582,4,2,West,Home,On-Time
583,6,4,East,Fashion,Late
584,6,5,North,Home,Late
585,6,3,South,Home,Late
586,7,5,South,Fashion,Late
587,1,2,East,Fashion,On-Time
588,9,2,East,Home,Late
589,7,1,North,Fashion,Late
590,3,4,West,Fashion,On-Time
591,9,4,East,Electronics,Late
592,8,5,East,Electronics,Late
593,1,4,South,Fashion,On-Time
594,5,2,South,Home,On-Time
595,7,4,East,Home,Late
596,4,5,South,Home,On-Time
597,6,4,South,Fashion,Late
598,7,5,East,Fashion,Late
599,2,4,South,Fashion,On-Time
600,4,5,East,Home,On-Time
